dx_origin,dy_origin,da_origin,dx_smooth,dy_smooth,da_smooth
-7.980397,30.686105,1.051620,50.843397,-33.007153,4.240797
1.884029,-1.239981,0.128226,58.475382,-62.723271,3.110052
2.941354,-4.457157,0.375008,56.221899,-60.565013,2.905095
6.639929,-4.538356,-0.011567,52.969672,-55.235108,2.455657
4.066287,0.720795,0.098896,46.063470,-49.921604,2.395603
17.621041,0.502957,0.255903,41.649953,-49.889887,2.230390
16.160086,-5.834557,0.323172,23.665241,-49.429555,1.897783
-10.231389,-20.917777,1.193772,7.071974,-42.880247,1.508940
5.990685,-1.765296,0.418514,16.869686,-21.307840,0.251596
-10.447585,-42.398331,1.409937,10.400608,-18.904879,-0.228887
-9.748082,-18.947607,1.298766,20.385713,24.105554,-1.699260
-4.758301,-13.480199,0.412259,29.733142,43.591754,-3.056812
-2.081309,-10.959879,0.445863,34.184686,57.575709,-3.526229
13.159694,1.860407,-0.015332,35.966776,69.038928,-4.027421
-2.287650,-5.105416,0.066958,22.510281,67.694855,-4.063894
19.011884,-8.101446,0.237617,24.504036,73.310785,-4.178158
4.735893,-6.053128,0.235822,5.262670,81.930330,-4.459671
-4.384932,-0.645292,0.200488,0.375265,88.465471,-4.737977
-1.195007,-9.922046,0.432168,4.715223,89.666329,-4.982526
0.324152,-11.824925,0.194166,5.961252,100.250626,-5.460735
8.810648,3.578764,-0.028736,5.732946,112.811858,-5.701638
4.857319,-5.623800,0.392187,-3.008995,109.974679,-5.719220
5.872396,10.660149,-0.039064,-7.823309,116.377540,-6.160246
6.288422,-4.046771,-0.072752,-13.741832,106.514587,-6.169138
2.728289,-4.819280,0.006641,-20.162054,111.378358,-6.144257
5.616386,-10.283719,0.363099,-23.055615,116.979701,-6.198614
5.294387,-0.348991,-0.054673,-28.805086,128.059025,-6.609519
-1.046706,9.546479,-0.059392,-34.177171,129.173715,-6.601475
-3.244872,-8.997591,0.233990,-33.165237,120.381576,-6.587705
-7.889122,0.061590,-0.105372,-29.983814,130.093355,-6.864803
4.183047,10.453109,-0.136901,-22.196445,130.671713,-6.800477
11.219117,10.344914,-0.067479,-26.507452,120.798851,-6.702793
3.988938,2.652166,-0.045276,-37.847307,110.988270,-6.673652
3.067198,3.523246,-0.084985,-41.954571,108.831646,-6.666350
0.368277,7.291429,-0.088399,-45.203042,105.796464,-6.619511
0.811378,1.908124,-0.144124,-45.819731,99.005576,-6.568158
0.237624,10.915556,-0.245811,-46.847369,97.557053,-6.459467
-0.834807,6.169429,-0.247033,-47.289298,87.139758,-6.250011
-1.703630,4.251107,-0.047904,-46.686084,81.336885,-6.036397
2.089238,8.110628,-0.073025,-45.271255,77.471183,-6.022169
1.059794,0.975487,-0.080110,-47.655374,69.883789,-5.987025
4.472162,-2.345313,-0.108733,-49.009452,69.380523,-5.944440
6.634700,8.785925,-0.417629,-53.799812,72.163511,-5.872714
-1.456218,10.429322,-0.568700,-60.755720,63.780712,-5.491687
-9.907622,8.283024,-0.435517,-59.626804,53.735586,-4.959248
-5.683341,28.257519,-1.331222,-50.074844,45.810477,-4.559538
-10.626721,26.895178,-1.163765,-44.761114,17.899484,-3.263891
-7.912614,1.514569,-0.213264,-34.507445,-8.662272,-2.135502
1.036331,-2.582458,-0.079923,-26.963506,-9.851814,-1.957103
-4.854067,7.525336,-0.357874,-28.360032,-6.976866,-1.911652
-10.244537,-0.654032,-0.336278,-23.858654,-14.224689,-1.587892
0.226714,51.989932,-2.614907,-13.950589,-13.333716,-1.284876
-1.635649,9.404415,-0.308960,-14.503936,-65.114296,1.297228
-6.886688,-45.067417,1.921689,-13.196945,-74.314053,1.573624
